,x_coord,base,surface,velocity,bmb,smb,tmb,dQdx,dQdy
0,0.0,-938.8300953735449,109.54724122679299,129.35688855937144,-2.552718287287754,1.0,-1.5527182872877543,4.517982648981009,-6.070700936268765
1,247.490543657935,-934.5629196002121,109.04932649642596,130.83513301557548,-4.181176038419123,1.0,-3.1811760384191223,2.9040300500800234,-6.085206088499144
2,494.98108731587,-927.8688571291308,108.26823087548186,132.2908620421502,-5.53618857203778,0.9999999999999999,-4.536188572037779,1.5425090467838276,-6.078697618821606
3,742.4716309738051,-919.9846953069327,107.34826869993645,133.68755816442086,-6.186181657604842,1.0,-5.186181657604841,0.741501030103709,-5.927682687708551
4,989.96217463174,-911.9674186476318,106.41277404067228,134.9854918895158,-6.356444827557345,1.0,-5.356444827557345,0.3254546016978239,-5.68189942925517
5,1237.452718289675,-904.4287125950101,105.53312131697486,136.1726194247729,-6.160860776397433,1.0000000000000002,-5.160860776397433,0.25501727526452056,-5.415878051661952
6,1484.9432619476102,-897.8168097528136,104.76161247933584,137.2517772274653,-5.757634710881644,0.9999999999999998,-4.757634710881645,0.3677245703900659,-5.125359281271711
7,1732.433805605545,-892.2148743542724,104.10795153315924,138.2255775424536,-5.240194340287528,0.9999999999999998,-4.240194340287529,0.5543305484009726,-4.7945248886885015
8,1979.92434926348,-887.6274478265059,103.57266839415051,139.10674277883035,-4.68669520632206,1.0,-3.6866952063220593,0.7509494079063801,-4.43764461422844
9,2227.4148929214152,-883.8952758218612,103.1371804939357,139.90057317902827,-4.157307678515195,1.0000000000000004,-3.1573076785151937,0.839930984115433,-3.9972386626306267
10,2474.90543657935,-880.8059636000951,102.77670458583432,140.5945146714872,-3.6754116310383664,1.0,-2.6754116310383664,0.7531008769407438,-3.4285125079791103
11,2722.395980237285,-878.1285808076284,102.46429459805469,141.17638885254206,-3.326213754024063,1.0,-2.3262137540240633,0.4686578227111274,-2.794871576735191
12,2969.8865238952203,-875.6106049805078,102.1704849868203,141.6541199338218,-3.1346395453862024,1.0000000000000002,-2.1346395453862015,0.10361307898712435,-2.2382526243733274
13,3217.377067553155,-873.0215149725805,101.86837742864341,142.04843379831772,-3.1048286081482,1.0,-2.1048286081482,-0.28817467623587223,-1.8166539319123274
14,3464.86761121109,-870.1559370453624,101.53400792132352,142.38332200988756,-3.269959957358477,0.9999999999999999,-2.2699599573584774,-0.7324207090571284,-1.5375392483013495
15,3712.358154869025,-866.8766279608155,101.15136225933169,142.67346943602777,-3.5227233847652633,0.9999999999999998,-2.5227233847652637,-1.19518934467627,-1.3275340400889932
16,3959.84869852696,-863.098565802206,100.71051967375786,142.92590106596617,-3.8096270042833793,1.0000000000000002,-2.809627004283379,-1.6921603316888336,-1.117466672594546
17,4207.339242184895,-858.7817958918836,100.20681805935816,143.13793754766712,-4.1113030909193995,0.9999999999999998,-3.1113030909194004,-2.2052692757914616,-0.906033815127939
18,4454.8297858428305,-853.9272719357496,99.64036869915495,143.30771046828656,-4.388885472037858,1.0000000000000002,-3.3888854720378587,-2.7310427348051762,-0.6578427372326822
19,4702.320329500765,-848.5876301342332,99.01731343987225,143.42773197415383,-4.612460946648916,1.0,-3.6124609466489157,-3.2168003109777144,-0.3956606356712015
20,4949.8108731587,-842.8678630785529,98.34990332541443,143.49956373826757,-4.764350590243373,0.9999999999999997,-3.7643505902433727,-3.5962900851953132,-0.16806050504805914
21,5197.3014168166355,-836.8742157577615,97.6505355355293,143.53609982977997,-4.868887603664909,1.0,-3.868887603664908,-3.853000924063859,-0.015886679601050054
22,5444.79196047457,-830.6944173645971,96.92944673719933,143.5559193185624,-4.946021262405702,1.0000000000000002,-3.9460212624057016,-3.9800052668951675,0.03398400448946619
23,5692.282504132505,-824.4206315597067,96.19739103259381,143.57485877093245,-4.961159458201932,1.0000000000000002,-3.961159458201932,-3.999133037181248,0.03797357897931613
24,5939.773047790441,-818.1446132404488,95.46507482740235,143.59571614589743,-4.900852655836647,1.0000000000000002,-3.9008526558366476,-3.978365889974532,0.07751323413788484
25,6187.263591448375,-811.9594232873885,94.74335691575843,143.6129528064127,-4.784930201141564,0.9999999999999998,-3.784930201141565,-3.904684553667809,0.11975435252624432
26,6434.75413510631,-805.9493075430006,94.04206751046996,143.6281192319399,-4.625280752224649,1.0000000000000002,-3.6252807522246493,-3.7658509406357066,0.14057018841105692
27,6682.244678764245,-800.1854429002906,93.36951187604251,143.64514944296656,-4.42428432415628,0.9999999999999999,-3.42428432415628,-3.580531314591988,0.15624699043570833
28,6929.73522242218,-794.6988311389291,92.72930745023478,143.6674015417242,-4.2053544789509605,0.9999999999999999,-3.2053544789509605,-3.376148126711678,0.1707936477607187
29,7177.225766080115,-789.4914561140477,92.12168571886912,143.6971343737846,-3.9714784373891128,0.9999999999999999,-2.971478437389112,-3.174775845072091,0.2032974076829795
30,7424.71630973805,-784.5480878890178,91.54486957919828,143.7311983976278,-3.7592372188770242,1.0,-2.7592372188770242,-3.0093859799098457,0.2501487610328225
31,7672.2068533959855,-779.8036034211082,90.9912601592786,143.77041205013876,-3.5850663463132117,0.9999999999999997,-2.5850663463132113,-2.879802398762978,0.2947360524497667
32,7919.69739705392,-775.2120391363497,90.45549420674956,143.81598153444594,-3.440908278390183,1.0,-2.440908278390183,-2.7701752702407374,0.3292669918505541
33,8167.187940711855,-770.7346898029365,89.933055407758,143.8670090286061,-3.3180164908993666,1.0,-2.318016490899367,-2.689919464521591,0.37190297362222485
