,x_coord,layer 1,layer 2,layer 3,layer 4
0,0.0,,,79.212,161.86800000000002
1,9.938026620426688,,,79.212,161.86800000000002
2,19.875629233065563,,,79.212,162.036
3,29.81280858956528,,,79.212,161.78400000000002
4,39.74956544341346,,,79.212,162.12
5,49.685900548952745,,,79.212,162.12
6,59.621814661008656,,,78.96000000000001,162.372
7,69.55730852958172,,,79.128,161.952
8,79.4923829090993,,,79.128,161.952
9,89.42703855285913,,,78.96000000000001,162.036
10,99.36127621424524,,,78.96000000000001,162.12
11,109.29509664400794,,,79.128,162.45600000000002
12,119.22850059493443,,,79.128,162.62400000000002
13,129.16148882045198,,,79.464,162.708
14,139.09406207312307,,,79.128,162.288
15,149.02622110364578,,,79.212,162.372
16,158.95796666381216,,,79.464,162.708
17,168.88929950725324,,,79.464,162.708
18,178.8202203855199,,,79.464,162.708
19,188.75073004815872,,,79.464,162.54000000000002
20,198.6808292477851,,,79.212,162.96
21,208.61051873662208,,,79.128,162.792
22,218.53979926549852,,,79.212,162.54000000000002
23,228.46867158425528,,,79.464,162.62400000000002
24,238.39713644447255,,,79.128,162.372
25,248.3251945976749,,,79.128,162.62400000000002
26,258.25284679365643,,,79.128,162.036
27,268.1800937840968,,,79.296,161.86800000000002
28,278.1069363179133,,,79.212,161.78400000000002
29,288.03337514723046,,,79.04400000000001,161.532
30,297.95941102052456,,,78.96000000000001,161.78400000000002
31,307.88504468915994,,,78.876,161.78400000000002
32,317.8102769015284,,,78.792,161.952
33,327.7351084091994,,,78.792,162.288
34,337.6595399605637,,,78.876,163.044
35,347.5835723057509,,,78.96000000000001,163.044
36,357.5072061937697,,,79.04400000000001,163.464
37,367.4304423745256,,,79.128,163.548
38,377.3532815965801,,,79.212,163.632
39,387.2757246093245,,,79.212,163.21200000000002
40,397.19777216107957,,,79.212,163.632
41,407.1194250013917,,,79.296,163.8
42,417.0406838776884,,,79.38000000000001,163.548
43,426.9615495401339,,,79.212,163.38000000000002
44,436.882022735469,,,79.296,163.548
45,446.8021042136001,,,79.548,163.548
46,456.7217947209773,,,79.632,163.632
47,466.641095006837,,,79.632,163.464
48,476.56000581869273,,,79.71600000000001,163.96800000000002
49,486.47852790370627,,,79.80000000000001,163.38000000000002
50,496.3966620103491,,,79.884,163.38000000000002
51,506.3144088852186,,,79.71600000000001,163.88400000000001
52,516.2317692760998,,,79.71600000000001,163.464
53,526.1487439309101,,,79.884,163.464
54,536.0653335960118,,,79.884,163.464
55,545.9815390176054,,,79.80000000000001,163.21200000000002
56,555.8973609439411,,,79.884,163.548
57,565.8128001207219,,,79.968,163.548
58,575.7278572955622,,,80.052,163.464
59,585.6425332129995,,,79.884,163.464
60,595.5568286223797,,,79.80000000000001,163.29600000000002
61,605.4707442664568,,,79.80000000000001,163.12800000000001
62,615.3842808937723,,,79.632,163.548
63,625.2974392489298,,,80.052,163.548
64,635.2102200788763,,,79.968,163.632
65,645.122624127479,,,79.968,163.21200000000002
66,655.0346521429872,,,79.80000000000001,163.548
67,664.9463048680859,,,80.052,163.716
68,674.8575830497542,,,80.13600000000001,163.716
69,684.7684874323242,,,80.22,163.88400000000001
70,694.67901876166,,,80.304,163.8
71,704.5891777814417,,,80.13600000000001,164.472
72,714.4989652378601,,,80.388,164.472
73,724.4083818743383,,,80.47200000000001,164.22
74,734.3174284357804,,,80.47200000000001,164.72400000000002
75,744.2261056669455,,,80.64,164.472
76,754.1344143118831,,,80.724,164.388
77,764.0423551149231,,,80.64,165.06
78,773.9499288196688,,,80.724,165.48000000000002
79,783.8571361693022,,,80.808,165.56400000000002
80,793.7639779089006,,,80.808,165.648
81,803.6704547818855,,,80.89200000000001,165.56400000000002
82,813.5765675313629,,,80.724,165.144
83,823.4823169005844,,,80.388,164.80800000000002
84,833.3877036335974,,,80.304,164.64000000000001
85,843.29272847153,,,80.052,164.72400000000002
86,853.1973921598168,,,80.304,164.472
87,863.1016954399796,,,80.304,164.64000000000001
88,873.0056390546956,,,80.304,164.64000000000001
89,882.9092237468737,,,80.22,164.64000000000001
90,892.8124502590887,,,80.304,164.80800000000002
91,902.7153193326907,,,80.304,164.64000000000001
92,912.617831711779,,,80.304,164.72400000000002
93,922.5199881367448,,,80.22,164.556
94,932.4217893503173,,,80.304,164.976
95,942.3232360931275,,,80.388,165.144
96,952.2243291091892,,,80.55600000000001,165.312
97,962.125069137969,,,80.55600000000001,165.816
98,972.0254569218711,,,80.808,165.39600000000002
99,981.9254932019206,,,80.808,165.48000000000002
100,991.825178719152,,,80.89200000000001,165.9
101,1001.7245142156693,,,80.976,166.23600000000002
102,1011.6235004304353,,,80.89200000000001,166.15200000000002
103,1021.5221381054862,,,80.89200000000001,165.984
104,1031.420427981668,,,80.724,165.984
105,1041.318370799339,,,80.89200000000001,166.068
106,1051.2159672979587,,,80.64,165.732
107,1061.1132182187937,,,80.55600000000001,165.816
108,1071.0101243021081,,,80.304,165.816
109,1080.9066862880386,,,80.304,165.56400000000002
110,1090.8029049150357,,,80.304,165.56400000000002
111,1100.6987809243485,,,80.388,166.15200000000002
112,1110.5943150549929,,,80.47200000000001,166.32000000000002
113,1120.4895080469005,,,80.64,166.74
114,1130.3843606386424,,,80.64,166.824
115,1140.2788735706984,,,80.55600000000001,166.90800000000002
116,1150.1730475805102,,,80.47200000000001,166.824
117,1160.0668834090372,,,80.64,167.07600000000002
118,1169.9603817931743,,,80.64,167.244
119,1179.8535434736416,,,80.47200000000001,167.16
120,1189.746369187129,,,80.64,167.328
121,1199.638859673963,,,80.47200000000001,167.496
122,1209.531015670527,,,80.64,167.83200000000002
123,1219.422837917233,,,80.64,167.496
124,1229.314327150003,,,80.64,167.74800000000002
125,1239.2054841083254,,,80.724,167.58
126,1249.0963095292357,,,80.89200000000001,167.58
127,1258.9868041514692,,,80.724,168.0
128,1268.8769687113434,,,80.89200000000001,168.252
129,1278.766803946996,,,80.808,168.42000000000002
130,1288.6563105957546,,,80.976,168.756
131,1298.5454893950384,,,80.89200000000001,168.672
132,1308.434341080397,,,80.808,168.924
133,1318.3228663914056,,,80.64,169.17600000000002
134,1328.211066062742,,,80.808,168.924
135,1338.0989408319472,,,81.06,169.008
136,1347.986491435084,,,81.06,169.34400000000002
137,1357.873718609422,,,80.724,169.512
138,1367.7606230906476,,,80.808,169.512
139,1377.647205615313,,,80.808,169.092
140,1387.5334669193624,,,80.89200000000001,169.34400000000002
141,1397.4194077384077,,,80.976,169.26000000000002
142,1407.3050288083602,,,80.808,169.092
